model,concat_variant,layer,positive_minus_negative,std_across_pairs,n_pairs,sem_across_pairs
Qwen2.5-3B-Instruct,negpos,23,0.00013891847034517438,0.0003998572373916459,150,3.2648206718948494e-05
Qwen2.5-3B-Instruct,negpos,24,0.00011535931156798406,0.0006003556323570015,150,4.9018832116019465e-05
Qwen2.5-3B-Instruct,negpos,25,0.00012081329931309244,0.0005293178699690465,150,4.321862310536732e-05
Qwen2.5-3B-Instruct,negpos,26,0.00010550819117004284,0.0005012037945125487,150,4.092311845674986e-05
Qwen2.5-3B-Instruct,negpos,27,9.143641236867654e-05,0.0003538365418665439,150,2.889063266413233e-05
Qwen2.5-3B-Instruct,negpos,28,5.7542436691892336e-05,0.00032033501635768446,150,2.6155244560747656e-05
Qwen2.5-3B-Instruct,negpos,29,6.437603823101397e-05,0.00020653967134859656,150,1.686389354820653e-05
Qwen2.5-3B-Instruct,negpos,30,4.3614332238806805e-05,0.0001518520074853918,150,1.2398664491883386e-05
Qwen2.5-3B-Instruct,negpos,31,2.8147226545490365e-05,0.0001833020037193857,150,1.4966545931407976e-05
Qwen2.5-3B-Instruct,negpos,32,3.311575899681636e-05,0.00024404660588320297,150,1.992632192906515e-05
Qwen2.5-3B-Instruct,negpos,33,7.56014180326329e-05,0.00038254690915347797,150,3.123482433682842e-05
Qwen2.5-3B-Instruct,negpos,34,8.774170330087354e-05,0.0005347229991626932,150,4.365995005597583e-05
Qwen2.5-3B-Instruct,negpos,35,0.00020488064340695795,0.0007393420310110355,150,6.036702404566712e-05
Qwen2.5-3B-Instruct,posneg,0,-5.907216958539981e-05,1.5300340088573276e-05,150,1.24926753693515e-06
Qwen2.5-3B-Instruct,posneg,1,-8.068996864331416e-05,3.4868453695266196e-05,150,2.8469973224421582e-06
Qwen2.5-3B-Instruct,posneg,2,-9.702833501200899e-05,3.494116749996513e-05,150,2.852934379734451e-06
Qwen2.5-3B-Instruct,posneg,3,-0.00014178405200330793,4.823815042462228e-05,150,3.938628489198142e-06
Qwen2.5-3B-Instruct,posneg,4,-0.00017009768391893203,5.832906024149733e-05,150,4.762547825590993e-06
Qwen2.5-3B-Instruct,posneg,5,-0.0001255253645850396,5.382183242394446e-05,150,4.394534215341568e-06
Qwen2.5-3B-Instruct,posneg,6,-0.00011240229379563926,5.149166575459005e-05,150,4.204276903489606e-06
Qwen2.5-3B-Instruct,posneg,7,-9.110681555203264e-05,4.707308641210543e-05,150,3.8435014109199485e-06
Qwen2.5-3B-Instruct,posneg,8,-8.483553123207477e-05,4.45926039106777e-05,150,3.640970862773269e-06
Qwen2.5-3B-Instruct,posneg,9,-6.878585101887695e-05,4.413861508281975e-05,150,3.6039028302007284e-06
Qwen2.5-3B-Instruct,posneg,10,-7.096267278966801e-05,4.659053731646092e-05,150,3.8041014422475975e-06
Qwen2.5-3B-Instruct,posneg,11,-4.9759918710336284e-05,4.261809537758927e-05,150,3.479752916145336e-06
Qwen2.5-3B-Instruct,posneg,12,-4.2725722733332195e-05,4.004919291310112e-05,150,3.270002908246198e-06
Qwen2.5-3B-Instruct,posneg,13,-4.7610250956771816e-06,5.428937958881693e-05,150,4.43270928149565e-06
Qwen2.5-3B-Instruct,posneg,14,2.526271655703516e-05,6.667402315346286e-05,150,5.443911194149847e-06
Qwen2.5-3B-Instruct,posneg,15,6.240169233053372e-05,6.969696876231862e-05,150,5.690733669545968e-06
Qwen2.5-3B-Instruct,posneg,16,0.00011220054212954578,8.589217288255235e-05,150,7.013066548705714e-06
Qwen2.5-3B-Instruct,posneg,17,0.00017431472553068649,0.00011802309701101907,150,9.63654551799984e-06
Qwen2.5-3B-Instruct,posneg,18,0.00029138142672680077,0.00017672683644541756,150,1.4429685771585689e-05
Qwen2.5-3B-Instruct,posneg,19,0.00023092896926455147,0.0002012708911848997,150,1.64336994492747e-05
Qwen2.5-3B-Instruct,posneg,20,0.00029065189069387305,0.00025811685569474625,150,2.1075153015457558e-05
Qwen2.5-3B-Instruct,posneg,21,0.0002475818636669791,0.00031445114971970955,150,2.567482886149353e-05
