model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,negpos,positive,15,0.9977408630827362,0.00027402231234934074,150,15000,2.2373828113114612e-05
Qwen2.5-1.5B-Instruct,negpos,positive,16,0.9979813689051872,0.00027967758043533883,150,15000,2.2835578818759325e-05
Qwen2.5-1.5B-Instruct,negpos,positive,17,0.998190483058252,0.00026103362159530055,150,15000,2.1313305953974474e-05
Qwen2.5-1.5B-Instruct,negpos,positive,18,0.998208120997976,0.0003480532723882025,150,15000,2.841843068856739e-05
Qwen2.5-1.5B-Instruct,negpos,positive,19,0.9986668481432751,0.0002464408753452203,150,15000,2.012181321202083e-05
Qwen2.5-1.5B-Instruct,negpos,positive,20,0.9987100237324895,0.00024328616945971072,150,15000,1.9864232555085718e-05
Qwen2.5-1.5B-Instruct,negpos,positive,21,0.9989567798267596,0.00019665536788138278,150,15000,1.6056843549623318e-05
Qwen2.5-1.5B-Instruct,negpos,positive,22,0.9987928860831988,0.0003609113770803339,150,15000,2.9468290540400993e-05
Qwen2.5-1.5B-Instruct,negpos,positive,23,0.9989821442007051,0.0003023076848820745,150,15000,2.468331910943902e-05
Qwen2.5-1.5B-Instruct,negpos,positive,24,0.9990806081433933,0.00025585562162896,150,15000,2.0890524027118378e-05
Qwen2.5-1.5B-Instruct,negpos,positive,25,0.9990374114521692,0.00023803093790983885,150,15000,1.9435144695840328e-05
Qwen2.5-1.5B-Instruct,negpos,positive,26,0.9989358502164574,0.0002442035361021816,150,15000,1.9939135227789178e-05
Qwen2.5-1.5B-Instruct,negpos,positive,27,0.9953131832524346,0.0009471569536643699,150,15000,7.733504142688787e-05
Qwen2.5-1.5B-Instruct,posneg,negative,0,0.9985805005674657,0.0001781801215738336,150,15000,1.454834600543217e-05
Qwen2.5-1.5B-Instruct,posneg,negative,1,0.9983583912573899,0.00021050694503055355,150,15000,1.7187820087898774e-05
Qwen2.5-1.5B-Instruct,posneg,negative,2,0.9982727422608257,0.0001882512031828597,150,15000,1.537064637543356e-05
Qwen2.5-1.5B-Instruct,posneg,negative,3,0.9976647144593691,0.0001706592080351719,150,15000,1.3934265986455135e-05
Qwen2.5-1.5B-Instruct,posneg,negative,4,0.9977188814146607,0.0001631566909371242,150,15000,1.3321688030564361e-05
Qwen2.5-1.5B-Instruct,posneg,negative,5,0.9978180806407543,0.00021037674511398177,150,15000,1.717718930922698e-05
Qwen2.5-1.5B-Instruct,posneg,negative,6,0.9980514702273132,0.0001672924219451932,150,15000,1.3659369053336874e-05
Qwen2.5-1.5B-Instruct,posneg,negative,7,0.9977989900985781,0.00018759018749603157,150,15000,1.5316674670610083e-05
Qwen2.5-1.5B-Instruct,posneg,negative,8,0.9979090075741778,0.00016858755456398392,150,15000,1.3765116188845933e-05
Qwen2.5-1.5B-Instruct,posneg,negative,9,0.997663986121866,0.00021052703085759614,150,15000,1.7189460088809313e-05
Qwen2.5-1.5B-Instruct,posneg,negative,10,0.9979730179968217,0.00016443011808005577,150,15000,1.342566292139078e-05
Qwen2.5-1.5B-Instruct,posneg,negative,11,0.9979616442182161,0.00017761410466471386,150,15000,1.4502130918327815e-05
Qwen2.5-1.5B-Instruct,posneg,negative,12,0.9981039328113553,0.0001795043066476205,150,15000,1.4656465263958423e-05
Qwen2.5-1.5B-Instruct,posneg,negative,13,0.997765136889888,0.0002421201871130835,150,15000,1.9769030495141395e-05
Qwen2.5-1.5B-Instruct,posneg,negative,14,0.9977042945374548,0.0002983177343224361,150,15000,2.4357541010437483e-05
Qwen2.5-1.5B-Instruct,posneg,negative,15,0.997675008403844,0.0002928707958119148,150,15000,2.3912800343401064e-05
Qwen2.5-1.5B-Instruct,posneg,negative,16,0.9979249530868587,0.00028170929962441013,150,15000,2.3001467995887522e-05
Qwen2.5-1.5B-Instruct,posneg,negative,17,0.9981687932861298,0.0002653654702470939,150,15000,2.166699991530304e-05
Qwen2.5-1.5B-Instruct,posneg,negative,18,0.9982246144381003,0.0003270499989596591,150,15000,2.6703520594297805e-05
Qwen2.5-1.5B-Instruct,posneg,negative,19,0.9986714777211458,0.00021856811077774414,150,15000,1.7846011514986056e-05
Qwen2.5-1.5B-Instruct,posneg,negative,20,0.9987111725397955,0.0002152146179603415,150,15000,1.757219997302856e-05
Qwen2.5-1.5B-Instruct,posneg,negative,21,0.9989579785647928,0.00017203961175542946,150,15000,1.4046975478244158e-05
Qwen2.5-1.5B-Instruct,posneg,negative,22,0.9988130634802618,0.0003532474712997512,150,15000,2.8842535253761187e-05
Qwen2.5-1.5B-Instruct,posneg,negative,23,0.9990069959458212,0.0002857231284290297,150,15000,2.332919574542763e-05
Qwen2.5-1.5B-Instruct,posneg,negative,24,0.9991117726666014,0.00024219889829624896,150,15000,1.9775457236334935e-05
Qwen2.5-1.5B-Instruct,posneg,negative,25,0.9990855734769798,0.00021961787236211063,150,15000,1.7931724189428506e-05
