model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_cos,n_rows
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,6,0.8387639031886519,0.08279422887172173,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,7,0.7896953361166016,0.11332001824371875,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,8,0.7277115979862058,0.12970273454126138,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,9,0.6969721279929266,0.1458497343736127,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,10,0.6582209975811883,0.15979969484450093,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,11,0.6638872977950537,0.1346483957538495,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,12,0.622665796965462,0.13892455759446481,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,13,0.6092540116317778,0.1243454338695403,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,14,0.6430594211770143,0.11387244302687369,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,15,0.6137468016060627,0.11162410701378273,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,16,0.6122377489554615,0.11177596216069242,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,17,0.6332678794648954,0.10324776711925279,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,18,0.6125178287781248,0.10858731728308535,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,19,0.6009241849500543,0.10706671488638324,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,20,0.5987033944064636,0.107234901453123,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,21,0.5889406287342555,0.11284946405043494,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,22,0.5954416343533555,0.11364313914458374,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,23,0.587040820857624,0.11526965654432644,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,24,0.6157663380692558,0.10246511796472882,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,25,0.6456568565020155,0.09638087423038018,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,26,0.7388723175649428,0.06977958824986841,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,27,0.8016335282241546,0.05207412341422497,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,0,0.9974150905651517,0.0014252196118805984,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,1,0.9966140408350573,0.0013708017664968346,100
