model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_across_rows,n_rows_total
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,8,0.24719150700075163,0.29457978191772766,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,9,0.23343998939395455,0.3173689354357565,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,10,0.24941771940005736,0.311364839742073,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,11,0.25154211973810925,0.26849867925328214,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,12,0.2539102595026817,0.24176172927255946,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,13,0.2563400730507695,0.2073611550516179,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,14,0.2899326056300384,0.19704901957920093,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,15,0.27472237561202933,0.1808802295364665,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,16,0.2822398994936581,0.18140046638226712,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,17,0.2754419875607506,0.17723469159208666,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,18,0.2686631697039912,0.17805083428643434,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,19,0.2838007484524101,0.17057841734742107,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,20,0.29510514559075085,0.16767432037459795,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,21,0.30304197009457556,0.17571927080284766,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,22,0.3178084486272341,0.17806415353814484,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,23,0.3155945621190589,0.17550579879826542,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,24,0.3073906140263592,0.17115168099085604,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,25,0.29995215132539654,0.17372177163163607,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,26,0.27778627250488896,0.16762185915721145,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,27,0.2816794700635104,0.1598116506496032,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,0,0.4125345044082941,0.1437165685578761,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,1,0.37762273796985873,0.1299943029389184,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,2,0.36115591057292923,0.1047600436687405,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,3,0.27670501517229495,0.09990638343082567,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,4,0.10490711443497062,0.18332504858492657,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,5,0.1333205002610341,0.24479263157009315,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,6,0.10170623260467265,0.30463903915313195,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,7,0.1297957472478112,0.3287250164262979,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,8,0.16062083244099373,0.3123275600440946,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,9,0.1455246097666463,0.317155804728004,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,10,0.1389962115716874,0.30621173633806936,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,11,0.1551610841981923,0.25974176592852344,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,12,0.18882818519790892,0.23585790830172568,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,13,0.24913809969123923,0.21568016673746657,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,14,0.2562987907642777,0.20108034447089096,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,15,0.25602292691158307,0.20234280828256818,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,16,0.2577227496465203,0.2071480837071424,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,17,0.2514264564686396,0.20760876068567477,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,18,0.2708549183456424,0.21752047764818827,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,19,0.28999162425149544,0.20966777841772888,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,20,0.31171403214497856,0.2135709846674186,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,21,0.32266201578802745,0.2173958538277743,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,22,0.31633989744410534,0.2083309737240195,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,23,0.3185367615337092,0.2065399860547672,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,24,0.3142200329580263,0.20083237248376992,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,25,0.2942254816431674,0.19485618958681575,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,26,0.27900957535898674,0.1996506131127275,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,27,0.2659887768724258,0.19381597472208176,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,0,0.6447847529973467,0.09521595763922379,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,1,0.5568579045760083,0.09935436367480709,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,2,0.49678866778687103,0.10963681859657183,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,3,0.34030209634832487,0.1164806008972773,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,4,0.21484137918056198,0.19266934790205736,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,5,0.22040646533714858,0.2306079370484132,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,6,0.1833369944246855,0.2751552469734972,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,7,0.1800113192090272,0.2980794175621604,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,8,0.16993084429310903,0.29263963861701936,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,9,0.1735531642815873,0.29696985096362244,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,10,0.1697247907202427,0.30189711482937925,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,11,0.16870189473790234,0.27523782006049824,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,12,0.17974023876695713,0.25212210881769015,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,13,0.219532949720466,0.22191968434331125,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,14,0.20183887282100724,0.2159819445013508,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,15,0.20533877545718773,0.2146004477725327,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,16,0.200418422977204,0.20701884726654562,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,17,0.20866805010356962,0.21030798463573938,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,18,0.19550491620742297,0.20573108421400021,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,19,0.17717606512806314,0.1888901506155623,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,20,0.16767827693684217,0.18340316724034914,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,21,0.16390116830482934,0.17960552003304497,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,22,0.1586349288473297,0.17488432067405654,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,23,0.15075757125856962,0.169136202216189,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,24,0.14765496356947685,0.16602476632537416,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,25,0.14435566122345425,0.16786557839459387,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,26,0.14283266705222977,0.1688432095028257,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,27,0.13422446791504783,0.16123545116566257,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,0,0.41889590451801484,0.18584583119186604,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,1,0.37272350185888425,0.1509439813307477,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,2,0.3708057204401944,0.11176927015005249,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,3,0.22772798018973656,0.10846230403984243,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,4,0.07505241138534402,0.18806413075589395,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,5,0.07902824293263205,0.24920156422139636,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,6,0.03840200177798916,0.2925978728532929,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,7,0.05902098105499294,0.3139730630091241,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,8,0.07714981080307398,0.3075188984425987,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,9,0.10158828645981295,0.30527478827571636,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,10,0.11002679939716577,0.3118953621544142,100
