model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,negative,25,0.9988924149832499,0.00028351997645698215,50,5000,4.0095779590916475e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,negative,26,0.9987972203854292,0.0003055720385703958,50,5000,4.321441212282482e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,negative,27,0.9950505280792846,0.0010340432853613612,50,5000,0.00014623580382388694
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,0,0.9984297184930817,0.0001432838452717084,50,5000,2.026339572522181e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,1,0.9981455572249958,0.00017253092590751294,50,5000,2.4399557534719236e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,2,0.9980258047298917,0.0001567464264643868,50,5000,2.2167292215945282e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,3,0.9972375261961892,0.0001013458908203549,50,5000,1.4332473328892885e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,4,0.9973013252519055,8.810608274595745e-05,50,5000,1.2460081714689917e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,5,0.9974936201058452,0.00012594517680303063,50,5000,1.7811337715032323e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,6,0.9977653030463736,0.00010212412018120212,50,5000,1.4442531580567594e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,7,0.9975244843223254,0.0001088129792864467,50,5000,1.5388479106911556e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,8,0.9976141254286925,0.00010069725040038885,50,5000,1.4240741720990948e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,9,0.9973323151907801,0.00014605709709214574,50,5000,2.0655592758855642e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,10,0.9977751413542596,0.00010088641292313744,50,5000,1.4267493341507324e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,11,0.9977846138073219,0.00013543984507452214,50,5000,1.9154086579010003e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,12,0.9979800002062446,0.00012428666441761265,50,5000,1.7576788644150136e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,13,0.9976789162393416,0.00020167388213316112,50,5000,2.8520993928914946e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,14,0.9976329527545623,0.00023978299294490034,50,5000,3.391043606490902e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,15,0.9976469986243928,0.00024652875650171797,50,5000,3.486443109597039e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,16,0.997863263535436,0.00024184121361798505,50,5000,3.420151242393233e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,17,0.998064549928741,0.00023264075683565932,50,5000,3.2900371347773075e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,18,0.9980461937712177,0.00028179990910628987,50,5000,3.9852525333362054e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,19,0.9985557664686467,0.00021848862076022358,50,5000,3.089895707032999e-05
