model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__global_cooperation__national_self_reliance,posneg,positive,0.7281546878778423,0.14234701864283894,28,2800,0.7171622501906714
Llama-3.2-3B-Instruct,ideology,ideology__government_intervention__free_market,negpos,negative,0.7192214698388788,0.1509303172371825,28,2800,0.7159201779390485
Llama-3.2-3B-Instruct,ideology,ideology__government_intervention__free_market,negpos,positive,0.7074968978371391,0.1532853635936518,28,2800,0.7159201779390485
Llama-3.2-3B-Instruct,ideology,ideology__government_intervention__free_market,posneg,negative,0.7100292252111583,0.15835639438150034,28,2800,0.7159201779390485
Llama-3.2-3B-Instruct,ideology,ideology__government_intervention__free_market,posneg,positive,0.7269331188690178,0.14113910234251784,28,2800,0.7159201779390485
Llama-3.2-3B-Instruct,ideology,ideology__hierarchy_support__egalitarianism_support,negpos,negative,0.7087607276269194,0.15641916273641399,28,2800,0.7081632694541461
Llama-3.2-3B-Instruct,ideology,ideology__hierarchy_support__egalitarianism_support,negpos,positive,0.7086020242003154,0.151111408212288,28,2800,0.7081632694541461
Llama-3.2-3B-Instruct,ideology,ideology__hierarchy_support__egalitarianism_support,posneg,negative,0.7053149681726864,0.15926429433322817,28,2800,0.7081632694541461
Llama-3.2-3B-Instruct,ideology,ideology__hierarchy_support__egalitarianism_support,posneg,positive,0.7099753578166631,0.14988722225837578,28,2800,0.7081632694541461
Llama-3.2-3B-Instruct,ideology,ideology__human_rights_priority__sovereignty_priority,negpos,negative,0.7356344531133409,0.13996473649110064,28,2800,0.7236187803818276
Llama-3.2-3B-Instruct,ideology,ideology__human_rights_priority__sovereignty_priority,negpos,positive,0.7157279628213107,0.15201043190723604,28,2800,0.7236187803818276
Llama-3.2-3B-Instruct,ideology,ideology__human_rights_priority__sovereignty_priority,posneg,negative,0.7152824362859794,0.15434362513519262,28,2800,0.7236187803818276
Llama-3.2-3B-Instruct,ideology,ideology__human_rights_priority__sovereignty_priority,posneg,positive,0.7278302693066794,0.14323116665132876,28,2800,0.7236187803818276
Llama-3.2-3B-Instruct,ideology,ideology__inclusive_policy__selective_policy,negpos,negative,0.7271501550009303,0.1455511663514606,28,2800,0.7138424709021636
Llama-3.2-3B-Instruct,ideology,ideology__inclusive_policy__selective_policy,negpos,positive,0.7082349571839138,0.15845944495336273,28,2800,0.7138424709021636
Llama-3.2-3B-Instruct,ideology,ideology__inclusive_policy__selective_policy,posneg,negative,0.7122284495682384,0.15633689241585907,28,2800,0.7138424709021636
Llama-3.2-3B-Instruct,ideology,ideology__inclusive_policy__selective_policy,posneg,positive,0.7077563218555716,0.1588112325164169,28,2800,0.7138424709021636
Llama-3.2-3B-Instruct,ideology,ideology__industrial_policy__market_coordination,negpos,negative,0.7160379365682418,0.1514094336124131,28,2800,0.7226557958141993
Llama-3.2-3B-Instruct,ideology,ideology__industrial_policy__market_coordination,negpos,positive,0.7320195708548463,0.13655377721532816,28,2800,0.7226557958141993
Llama-3.2-3B-Instruct,ideology,ideology__industrial_policy__market_coordination,posneg,negative,0.7049223344720877,0.15878401983172685,28,2800,0.7226557958141993
Llama-3.2-3B-Instruct,ideology,ideology__industrial_policy__market_coordination,posneg,positive,0.7376433413616211,0.13267129561673496,28,2800,0.7226557958141993
Llama-3.2-3B-Instruct,ideology,ideology__institution_trust__institution_skepticism,negpos,negative,0.7041030031216957,0.1580628734545946,28,2800,0.7001772718845041
Llama-3.2-3B-Instruct,ideology,ideology__institution_trust__institution_skepticism,negpos,positive,0.7045062961822997,0.1515027176883553,28,2800,0.7001772718845041
Llama-3.2-3B-Instruct,ideology,ideology__institution_trust__institution_skepticism,posneg,negative,0.6854093775276157,0.1721596610461427,28,2800,0.7001772718845041
Llama-3.2-3B-Instruct,ideology,ideology__institution_trust__institution_skepticism,posneg,positive,0.7066904107064051,0.1507549608995691,28,2800,0.7001772718845041
Llama-3.2-3B-Instruct,ideology,ideology__institutional_solutions__market_solutions,negpos,negative,0.7189319508043519,0.14983135065252903,28,2800,0.7079864575630248
Llama-3.2-3B-Instruct,ideology,ideology__institutional_solutions__market_solutions,negpos,positive,0.6937944112276428,0.1625648224240801,28,2800,0.7079864575630248
