model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,10,0.29146751216506983,0.06012338370564112,50,5000,0.008502730465227922
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,11,0.3317550696090465,0.04864282693644693,50,5000,0.006879134556569055
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,12,0.36766478475255987,0.04179557981159392,50,5000,0.005910787581680325
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,13,0.5512187004685984,0.03837350962236626,50,5000,0.005426833774380483
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,14,0.5218292708779487,0.0468616844085132,50,5000,0.006627242964616718
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,15,0.5044413791266025,0.05247385336025722,50,5000,0.007420923509205276
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,16,0.5065120366059088,0.060749286291592874,50,5000,0.008591246457805658
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,17,0.45254889290137207,0.06247510766537455,50,5000,0.0088353144571092
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,18,0.4591789766559446,0.0632050964231432,50,5000,0.00893855045727083
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,19,0.47305560357084014,0.06766057665897805,50,5000,0.009568650514911124
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,20,0.4665257365261523,0.06509177281861453,50,5000,0.009205366791899304
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,21,0.46600519878890834,0.061391247768678214,50,5000,0.008682033520547174
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,22,0.48108195436551293,0.061851443089827436,50,5000,0.00874711496699816
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,23,0.4774968547486199,0.06555087542328474,50,5000,0.009270293704903846
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,24,0.46584302351011375,0.061409972752850726,50,5000,0.008684681633204372
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,25,0.4478327515826809,0.06307273606464117,50,5000,0.008919831875859418
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,26,0.45746426849046,0.06002917074856169,50,5000,0.008489406741062622
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,27,0.30571964977976795,0.055069894569490116,50,5000,0.007788059177862938
Qwen2.5-3B-Instruct,ideology,negpos,negative,0,0.08029925380884363,0.01895399881364312,50,5000,0.0026805002183457657
Qwen2.5-3B-Instruct,ideology,negpos,negative,1,0.05405508859677548,0.029659130953267214,50,5000,0.004194434524231016
Qwen2.5-3B-Instruct,ideology,negpos,negative,2,0.07283839417503485,0.026698258976352487,50,5000,0.003775703993610691
Qwen2.5-3B-Instruct,ideology,negpos,negative,3,0.13737871462805495,0.07128828537175405,50,5000,0.01008168600110581
Qwen2.5-3B-Instruct,ideology,negpos,negative,4,0.17621104327997267,0.05248166102503386,50,5000,0.007422027679747036
Qwen2.5-3B-Instruct,ideology,negpos,negative,5,0.19833380711178739,0.038524462426474754,50,5000,0.005448181724665331
Qwen2.5-3B-Instruct,ideology,negpos,negative,6,0.24556031067819287,0.0362434587303935,50,5000,0.005125599088383204
