model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,posneg,positive,9,0.20606651371007523,0.09929047961748261,150,15000,0.008107033712634862
Llama-3.2-3B-Instruct,posneg,positive,10,0.22412966494534445,0.11146267830326323,150,15000,0.009100889573566145
Llama-3.2-3B-Instruct,posneg,positive,11,0.22283115126112804,0.10532941934759815,150,15000,0.008600111076841657
Llama-3.2-3B-Instruct,posneg,positive,12,0.22841616683373536,0.08903878643811819,150,15000,0.007269986469667748
Llama-3.2-3B-Instruct,posneg,positive,13,0.2706284486415363,0.0872515114932419,150,15000,0.00712405608150082
Llama-3.2-3B-Instruct,posneg,positive,14,0.2609702946281933,0.08631500085117984,150,15000,0.00704759030777621
Llama-3.2-3B-Instruct,posneg,positive,15,0.25345586796948827,0.08179570635860871,150,15000,0.006678591457637227
Llama-3.2-3B-Instruct,posneg,positive,16,0.2464094529786808,0.08541810814882517,150,15000,0.006974359325283048
Llama-3.2-3B-Instruct,posneg,positive,17,0.23904999971992383,0.08385832185589782,150,15000,0.0068470033077677375
Llama-3.2-3B-Instruct,posneg,positive,18,0.23435998274919523,0.08390327788882943,150,15000,0.0068506739524858105
Llama-3.2-3B-Instruct,posneg,positive,19,0.23328017538624682,0.08356005846513972,150,15000,0.006822650203890748
Llama-3.2-3B-Instruct,posneg,positive,20,0.23275565910150803,0.08613697884247788,150,15000,0.0070330548716327065
Llama-3.2-3B-Instruct,posneg,positive,21,0.23171826310804136,0.08671542470078654,150,15000,0.007080284778188789
Llama-3.2-3B-Instruct,posneg,positive,22,0.22835150988722214,0.08622416061602388,150,15000,0.007040173233634659
Llama-3.2-3B-Instruct,posneg,positive,23,0.22451381701636108,0.08610131569749614,150,15000,0.0070301429880384346
Llama-3.2-3B-Instruct,posneg,positive,24,0.2186204696175303,0.08490577570473123,150,15000,0.006932527556392944
Llama-3.2-3B-Instruct,posneg,positive,25,0.21545251709700808,0.08316584797755971,150,15000,0.006790463052363254
Llama-3.2-3B-Instruct,posneg,positive,26,0.2160581598059776,0.08197273960853331,150,15000,0.006693046161964623
Llama-3.2-3B-Instruct,posneg,positive,27,0.2150658703862811,0.08183014430296895,150,15000,0.006681403304019659
Qwen2.5-1.5B-Instruct,negpos,negative,0,0.0956074627329012,0.10579147058684996,150,15000,0.008637837402547909
Qwen2.5-1.5B-Instruct,negpos,negative,1,0.1508360728341439,0.09251905492906144,150,15000,0.007554149202024314
Qwen2.5-1.5B-Instruct,negpos,negative,2,0.16586533252805397,0.09307724187594817,150,15000,0.007599724975389464
Qwen2.5-1.5B-Instruct,negpos,negative,3,0.20416152531259596,0.058939651292870654,150,15000,0.004812402376170132
Qwen2.5-1.5B-Instruct,negpos,negative,4,0.20855310344116418,0.05853378540371512,150,15000,0.004779263565089063
Qwen2.5-1.5B-Instruct,negpos,negative,5,0.2379945245883375,0.07701410021434894,150,15000,0.006288174950824116
Qwen2.5-1.5B-Instruct,negpos,negative,6,0.2825269996028333,0.07821625010791178,150,15000,0.006386330078609785
Qwen2.5-1.5B-Instruct,negpos,negative,7,0.3195156550703308,0.07647996462160006,150,15000,0.00624456296230099
