category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,variant,layer,layer_index,n_examples,hidden_dim,mean_pos_projection,mean_neg_projection,mean_projection_dominance_pos_minus_neg,mean_abs_projection_gap,mean_min_projection,mean_pos_cosine,mean_neg_cosine,mean_cosine_dominance_pos_minus_neg,frac_pos_projection_dominates,frac_neg_projection_dominates,pos_vector_norm,neg_vector_norm,mean_hidden_norm
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,negpos,0,1,100,3072,-0.09573140746771484,-0.12816543084674342,0.03243402337902859,0.03243402337902859,-0.12816543084674342,-0.05048642557838451,-0.06759255776079472,0.017106132182410205,1.0,0.0,0.13510385960948773,0.12474580040806078,1.8961433976105073
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,posneg,0,1,100,3072,-0.09515914459243312,-0.12732492661484995,0.03216578202241683,0.03216578202241683,-0.12732492661484995,-0.050184128191757334,-0.06714840509753968,0.016964276905782352,1.0,0.0,0.13510385960948773,0.12474580040806078,1.8961833364649092
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,negpos,0,1,100,3072,-0.1475621393701043,-0.1423770808369205,-0.005185058533183828,0.008839782773332958,-0.14938950149017885,-0.07784707329864296,-0.07511468458407253,-0.0027323887145704164,0.31,0.69,0.1368219886904015,0.11918525979726456,1.8954854114854316
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,posneg,0,1,100,3072,-0.1481485248094676,-0.1421550356705007,-0.005993489138966941,0.00914448152234882,-0.14972402100115856,-0.07815193454381492,-0.07499313280130765,-0.0031588017425072607,0.28,0.72,0.1368219886904015,0.11918525979726456,1.8955951205819173
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,negpos,0,1,100,3072,-0.029871776302087583,0.029852935766350876,-0.059724712068438456,0.059724712068438456,-0.029871776302087583,-0.015683255889188515,0.015670975001060062,-0.03135423089024857,0.0,1.0,0.14772491322650327,0.14983794217740143,1.9047283321031672
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,posneg,0,1,100,3072,-0.028947597848153258,0.030779440363724583,-0.059727038211877866,0.059727038211877866,-0.028947597848153258,-0.015195606089079404,0.016156472475553435,-0.031352078564632825,0.0,1.0,0.14772491322650327,0.14983794217740143,1.9049445914441898
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,negpos,0,1,100,3072,-0.07399915402252745,-0.15503495168662387,0.08103579766409644,0.08103579766409644,-0.15503495168662387,-0.03911695493858562,-0.08196169260789093,0.0428447376693053,1.0,0.0,0.1664292918665741,0.1306931357734925,1.891503626521538
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,posneg,0,1,100,3072,-0.07766577635613343,-0.15586195896277494,0.07819618260664148,0.07819618260664148,-0.15586195896277494,-0.04105481405710755,-0.0823983818105561,0.041343567753448565,1.0,0.0,0.1664292918665741,0.1306931357734925,1.891521859471693
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,negpos,0,1,100,3072,-0.08215112720643716,-0.16710524459403636,0.08495411738759918,0.08495411738759918,-0.16710524459403636,-0.04337352935514304,-0.08823043030868698,0.04485690095354391,1.0,0.0,0.1401991231849589,0.1274304027321738,1.8939611543040074
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,posneg,0,1,100,3072,-0.08142478717357178,-0.16604571072755797,0.08462092355398615,0.08462092355398615,-0.16604571072755797,-0.042990711687508495,-0.08767275879924603,0.04468204711173755,1.0,0.0,0.1401991231849589,0.1274304027321738,1.8939198658387424
